timestamp,model_id,model_name,num_epochs,batch_size,data_type,learning_rate,final_loss,early_stop,num_params,training_time
2024-06-22 02:17:39.840826,SymmetryNet_16_250_Aug,SymmetryNet,250,16,augmented,0.001,0.0035622194177942373,132,228120,1737.2480235099792
2024-06-22 02:29:33.191047,SymmetryNet_16_500_Aug,SymmetryNet,500,16,augmented,0.001,0.003085425873960267,75,228120,713.3482208251953
2024-06-22 02:35:16.527988,SymmetryNet_64_100_Aug,SymmetryNet,100,64,augmented,0.001,0.002751815005294269,,228120,343.3340446949005
2024-06-22 02:37:09.512638,SymmetryNet_64_250_Aug,SymmetryNet,250,64,augmented,0.001,0.0026484294378730866,56,228120,112.98097896575928
2024-06-22 02:39:43.305301,SymmetryNet_64_500_Aug,SymmetryNet,500,64,augmented,0.001,0.0024982872169597875,68,228120,153.7872359752655
2024-06-22 02:41:19.258685,SymmetryNet_128_100_Aug,SymmetryNet,100,128,augmented,0.001,0.0025112563300700415,64,228120,95.95039439201355
2024-06-22 02:42:45.833304,SymmetryNet_128_250_Aug,SymmetryNet,250,128,augmented,0.001,0.0024691162952443675,59,228120,86.57159900665283
2024-06-22 02:44:21.814151,SymmetryNet_128_500_Aug,SymmetryNet,500,128,augmented,0.001,0.002508511395371031,50,228120,95.97604513168335
2024-06-22 03:47:45.613137,SymResNet_16_100_Aug,SymResNet,100,16,augmented,0.001,0.008791677554205329,,12880,1793.1519529819489
2024-06-22 04:14:19.975007,SymResNet_16_250_Aug,SymResNet,250,16,augmented,0.001,0.00677158860265311,89,12880,1594.3598601818085
2024-06-22 04:35:07.709303,SymResNet_16_500_Aug,SymResNet,500,16,augmented,0.001,0.0061690021230536235,70,12880,1247.731395483017
2024-06-22 04:39:27.447607,SymResNet_64_100_Aug,SymResNet,100,64,augmented,0.001,0.006033628813124129,51,12880,259.7352125644684
2024-06-22 04:43:41.924948,SymResNet_64_250_Aug,SymResNet,250,64,augmented,0.001,0.005799730774015188,50,12880,254.47542357444763
2024-06-22 04:47:55.204265,SymResNet_64_500_Aug,SymResNet,500,64,augmented,0.001,0.005616571044638043,50,12880,253.27684950828552
2024-06-22 04:50:31.957730,SymResNet_128_100_Aug,SymResNet,100,128,augmented,0.001,0.005571330675766582,50,12880,156.7482578754425
2024-06-22 04:53:11.149572,SymResNet_128_250_Aug,SymResNet,250,128,augmented,0.001,0.00529991855312671,50,12880,159.18994736671448
2024-06-22 04:55:51.006091,SymResNet_128_500_Aug,SymResNet,500,128,augmented,0.001,0.0052448418434886705,50,12880,159.85327887535095
2024-06-22 04:56:13.331038,SimpleHydraulicCNN_16_100_Dis,SimpleHydraulicCNN,100,16,disambiguated,0.001,0.02904335174354769,94,228112,22.308961868286133
2024-06-22 04:56:30.435167,SimpleHydraulicCNN_16_250_Dis,SimpleHydraulicCNN,250,16,disambiguated,0.001,0.027816991011301678,75,228112,17.101133584976196
2024-06-22 04:56:43.992654,SimpleHydraulicCNN_16_500_Dis,SimpleHydraulicCNN,500,16,disambiguated,0.001,0.02712407521903515,52,228112,13.555978059768677
2024-06-22 04:56:47.729235,SimpleHydraulicCNN_64_100_Dis,SimpleHydraulicCNN,100,64,disambiguated,0.001,0.027834767786165077,51,228112,3.734483242034912
2024-06-22 04:56:51.529539,SimpleHydraulicCNN_64_250_Dis,SimpleHydraulicCNN,250,64,disambiguated,0.001,0.02780597967406114,55,228112,3.7971839904785156
2024-06-22 04:56:55.924800,SimpleHydraulicCNN_64_500_Dis,SimpleHydraulicCNN,500,64,disambiguated,0.001,0.027649264472226303,65,228112,4.392251491546631
2024-06-22 04:56:58.126988,SimpleHydraulicCNN_128_100_Dis,SimpleHydraulicCNN,100,128,disambiguated,0.001,0.027870698521534603,53,228112,2.1993179321289062
2024-06-22 04:57:00.261772,SimpleHydraulicCNN_128_250_Dis,SimpleHydraulicCNN,250,128,disambiguated,0.001,0.028055180485049885,53,228112,2.1327998638153076
2024-06-22 04:57:02.446934,SimpleHydraulicCNN_128_500_Dis,SimpleHydraulicCNN,500,128,disambiguated,0.001,0.02794555202126503,52,228112,2.17987322807312
2024-06-22 04:58:36.693569,SymmetryNet_16_100_Dis,SymmetryNet,100,16,disambiguated,0.001,0.017571407192874523,,228120,94.24332165718079
2024-06-22 05:00:02.871174,SymmetryNet_16_250_Dis,SymmetryNet,250,16,disambiguated,0.001,0.01573564564543111,85,228120,86.17571306228638
2024-06-22 05:01:22.530815,SymmetryNet_16_500_Dis,SymmetryNet,500,16,disambiguated,0.001,0.014534001593433675,81,228120,79.65642189979553
